passers
ブスケツ,
ラキティッチ,
アルテゥール,
デ・ヨング
ビダル
ジョルディ・アルバ
セルジ・ロベルト
scorers
メッシ, リオネル・メッシ
スアレス, ルイス・スアレス
デンベレ, ウスマン・デンベレ
グリーズマン, アントワーヌ・グリーズマン
